in s,C1 in V
-3.0673449,0.07768372
-3.0672991,0.08180359
-3.0672533,0.08500793
-3.0672075,0.0879071
-3.0671617,0.09187439
-3.0671159,0.09629944
-3.0670702,0.0993512
-3.0670244,0.1039288
-3.0669786,0.106828
-3.0669328,0.1115582
-3.066887,0.1158307
-3.0668412,0.1194928
-3.0667955,0.1233075
-3.0667497,0.1265118
-3.0667039,0.1307843
-3.0666581,0.1341412
-3.0666123,0.1391766
-3.0665665,0.1429913
-3.0665208,0.1463483
-3.066475,0.1506207
-3.0664292,0.1548932
-3.0663834,0.1584027
-3.0663376,0.1632855
-3.0662918,0.167558
-3.066246,0.1713727
-3.0662003,0.1754926
-3.0661545,0.179765
-3.0661087,0.1843427
-3.0660629,0.1870892
-3.0660171,0.1915143
-3.0659713,0.1954816
-3.0659256,0.1989911
-3.0658798,0.2018903
-3.065834,0.2052472
-3.0657882,0.2092145
-3.0657424,0.2121136
-3.0656966,0.2156232
-3.0656509,0.2192853
-3.0656051,0.222337
-3.0655593,0.2258466
-3.0655135,0.2287457
-3.0654677,0.2321027
-3.0654219,0.235307
-3.0653762,0.2394269
-3.0653304,0.2427838
-3.0652846,0.2458356
-3.0652388,0.2488873
-3.065193,0.2522443
-3.0651472,0.2543805
-3.0651014,0.2569745
-3.0650557,0.2607892
-3.0650099,0.2641461
-3.0649641,0.2668927
-3.0649183,0.2696393
-3.0648725,0.2722333
-3.0648267,0.275285
-3.064781,0.2775739
-3.0647352,0.2810834
-3.0646894,0.2841351
-3.0646436,0.2874921
-3.0645978,0.2910016
-3.064552,0.293443
-3.0645063,0.2966473
-3.0644605,0.3000043
-3.0644147,0.3036664
-3.0643689,0.3076337
-3.0643231,0.3103802
-3.0642773,0.3129742
-3.0642316,0.3161786
-3.0641858,0.3192303
-3.06414,0.3225873
-3.0640942,0.3250287
-3.0640484,0.3280804
-3.0640026,0.3300641
-3.0639568,0.3329633
-3.0639111,0.3357098
-3.0638653,0.3378461
-3.0638195,0.3413556
-3.0637737,0.3442548
-3.0637279,0.3471539
-3.0636821,0.3512738
-3.0636364,0.3547833
-3.0635906,0.3576825
-3.0635448,0.3605817
-3.063499,0.3624127
-3.0634532,0.3648541
-3.0634074,0.3669904
-3.0633617,0.3695844
-3.0633159,0.3714154
-3.0632701,0.3735516
-3.0632243,0.3769086
-3.0631785,0.3802655
-3.0631327,0.3820966
-3.063087,0.3851483
-3.0630412,0.3878949
-3.0629954,0.3903363
-3.0629496,0.3930829
-3.0629038,0.3947614
-3.062858,0.3979657
-3.0628122,0.4013226
-3.0627665,0.4034589
