Status_RPM_V1,Status_TotalCurrent_V1,Status_DutyCycle_V1,Status_RPM_V2,Status_TotalCurrent_V2,Status_DutyCycle_V2,TorqueValue
0,0.0,-0.1,0,0.0,0.1,2110
0,0.0,-0.1,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,-0.1,2110
0,0.0,0.0,0,0.0,-0.1,2109
0,0.0,0.0,0,0.0,-0.1,2109
0,0.0,0.0,0,0.0,-0.1,2111
0,0.0,-0.1,0,0.0,0.0,2110
0,0.0,-0.1,0,0.0,0.0,2111
0,0.0,-0.1,0,0.0,0.1,2110
0,0.0,-0.1,0,0.0,0.0,2111
0,0.0,-0.1,0,0.0,0.0,2111
0,0.0,-0.1,0,0.0,0.1,2111
0,0.0,-0.1,0,0.0,-0.1,2111
0,0.0,-0.1,0,0.0,0.1,2111
0,0.0,0.0,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,0.0,2110
0,0.0,-0.1,0,0.0,-0.1,2111
0,0.0,-0.1,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,0.0,2109
0,0.0,-0.1,0,0.0,0.0,2111
0,0.0,0.0,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,0.0,2110
0,0.0,-0.1,0,0.0,-0.1,2110
0,0.0,0.0,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,0.0,2110
0,0.0,-0.1,0,0.0,0.0,2110
0,0.0,0.0,0,0.0,-0.1,2110
0,0.0,0.0,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,-0.1,2110
0,0.0,0.0,0,0.0,0.0,2109
0,0.0,-0.1,0,0.0,-0.1,2110
0,0.0,-0.1,0,0.0,0.1,2110
0,0.0,-0.1,0,0.0,-0.1,2111
0,0.0,-0.1,0,0.0,-0.1,2111
0,0.0,-0.1,0,0.0,0.0,2111
-2,0.0,-0.2,-1,0.0,-0.2,2115
-196,0.0,-3.9000000000000004,-61,0.0,-3.1,2128
-413,0.0,-6.6000000000000005,51,0.0,5.0,2131
-726,0.0,-9.4,750,0.0,10.4,2135
-1011,0.0,-9.600000000000001,999,0.0,8.0,2118
-1006,0.0,-5.5,864,0.0,2.6,2107
-1006,0.0,-5.5,-89,0.0,-4.1000000000000005,2095
994,0.0,12.0,-89,0.0,-4.1000000000000005,2105
1188,0.0,8.5,-89,0.0,-4.1000000000000005,2124
80,0.0,-1.6,105,0.0,4.7,2149
-296,0.0,-7.4,488,0.0,8.700000000000001,2136
-869,0.0,-4.7,846,0.0,9.1,2114
144,0.0,6.300000000000001,266,0.0,-1.6,2082
592,0.0,9.1,-714,0.0,-7.5,2139
690,0.0,2.5,-714,0.0,-7.5,2145
-379,0.0,-1.8,-714,0.0,-7.5,2112
178,0.0,5.1000000000000005,-200,0.0,-5.0,2104
178,0.0,5.1000000000000005,-200,0.0,-5.0,2131
0,0.0,0.2,-200,0.0,-5.0,2131
7,0.0,-0.1,-9,0.0,-0.1,2122
0,0.0,-0.1,-9,0.0,-0.1,2123
0,0.0,-0.1,-9,0.0,-0.1,2123
-38,0.0,-2.3000000000000003,2,0.0,0.2,2147
-427,0.0,-10.3,699,0.0,10.5,2156
-967,0.0,-10.4,1123,0.0,10.5,2132
-545,0.0,0.0,1101,0.0,5.300000000000001,2108
130,0.0,3.7,-32,0.0,-2.1,2098
460,0.0,8.5,-32,0.0,-2.1,2101
1014,0.0,12.8,-32,0.0,-2.1,2101
1459,0.0,12.3,-32,0.0,-2.1,2133
-7,0.0,-1.4000000000000001,-1250,0.0,-3.1,2134
-138,0.0,-3.1,232,0.0,4.7,2124
-367,0.0,-6.9,536,0.0,9.700000000000001,2140
-768,0.0,-10.700000000000001,1029,0.0,13.100000000000001,2136
-1520,0.0,-11.9,1459,0.0,12.600000000000001,2108
-1224,0.0,-2.3000000000000003,-7,0.0,-1.7000000000000002,2107
120,0.0,4.0,-259,0.0,-5.7,2091
425,0.0,8.0,-614,0.0,-10.5,2091
1445,0.0,14.8,-1162,0.0,-13.5,2089
1622,0.0,10.3,-1586,0.0,-13.0,2131
870,0.0,0.7000000000000001,22,0.0,1.7000000000000002,2138
-102,0.0,-3.0,230,0.0,5.0,2127
-815,0.0,-12.600000000000001,550,0.0,9.600000000000001,2134
-1275,0.0,-12.3,1043,0.0,11.600000000000001,2138
-1404,0.0,-9.700000000000001,1316,0.0,5.4,2099
-3,0.0,2.0,-139,0.0,-6.1000000000000005,2093
939,0.0,11.700000000000001,-614,0.0,-10.5,2091
1345,0.0,11.8,-1186,0.0,-13.700000000000001,2111
-32,0.0,-4.800000000000001,288,0.0,8.8,2151
-557,0.0,-10.3,764,0.0,10.3,2117
577,0.0,12.4,-150,0.0,-9.200000000000001,2061
952,0.0,3.1,-884,0.0,-12.100000000000001,2186
-448,0.0,-11.700000000000001,732,0.0,10.4,2114
-713,0.0,0.8,-157,0.0,-8.0,2064
-3,0.0,-1.4000000000000001,-557,0.0,-4.2,2147
11,0.0,1.0,53,0.0,1.1,2121
-3,0.0,-0.5,47,0.0,1.6,2133
-3,0.0,-0.5,242,0.0,4.5,2127
-3,0.0,-0.5,407,0.0,5.9,2140
-774,0.0,-10.600000000000001,741,0.0,9.9,2109
65,0.0,5.1000000000000005,-44,0.0,-4.4,2076
735,0.0,15.4,-44,0.0,-4.4,2076
1626,0.0,19.0,-1578,0.0,-20.900000000000002,2099
1906,0.0,11.9,-1900,0.0,-11.200000000000001,2163
-14,0.0,-2.9000000000000004,369,0.0,8.1,2140
-799,0.0,-11.3,759,0.0,11.4,2142
-1383,0.0,-15.8,1346,0.0,14.9,2142
-1729,0.0,-12.0,1727,0.0,14.600000000000001,2142
-1535,0.0,-5.2,1577,0.0,6.0,2094
122,0.0,5.1000000000000005,1577,0.0,6.0,2095
122,0.0,5.1000000000000005,-682,0.0,-12.600000000000001,2074
2155,0.0,17.5,-2133,0.0,-16.0,2135
2155,0.0,17.5,-2133,0.0,-16.0,2135
2155,0.0,17.5,-2133,0.0,-16.0,2125
-629,0.0,-9.5,-2133,0.0,-16.0,2142
-1037,0.0,-10.200000000000001,1107,0.0,9.200000000000001,2125
-1055,0.0,-5.6000000000000005,925,0.0,1.7000000000000002,2097
512,0.0,10.9,-195,0.0,-7.5,2084
1221,0.0,15.0,-829,0.0,-13.700000000000001,2098
