Status_RPM_V1,Status_TotalCurrent_V1,Status_DutyCycle_V1,Status_RPM_V2,Status_TotalCurrent_V2,Status_DutyCycle_V2,TorqueValue
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.010000000000000002,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
0.0,0.0,-0.1,0.0,0.0,0.0,0
