in s,C1 in V
-3.0780125,0.79806763
-3.0779668,0.89389282
-3.077921,0.89938599
-3.0778752,0.9042688
-3.0778294,0.87130981
-3.0777836,0.79104858
-3.0777378,0.87741333
-3.077692,0.9030481
-3.0776463,0.92837769
-3.0776005,0.85727173
-3.0775547,0.81241089
-3.0775089,0.8462854
-3.0774631,0.85940796
-3.0774173,0.90823608
-3.0773716,0.81759888
-3.0773258,0.76968628
-3.07728,0.7681604
-3.0772342,0.72055298
-3.0771884,0.68301636
-3.0771426,0.65127808
-3.0770969,0.64151245
-3.0770511,0.88260132
-3.0770053,0.99734741
-3.0769595,0.95523315
-3.0769137,0.91220337
-3.0768679,0.99338013
-3.0768222,0.95614868
-3.0767764,1.0260339
-3.0767306,1.0415979
-3.0766848,1.0489221
-3.076639,1.0455652
-3.0765932,1.0263391
-3.0765474,1.0412927
-3.0765017,1.0599084
-3.0764559,1.0446497
-3.0764101,1.0861536
-3.0763643,1.0361047
-3.0763185,1.083407
-3.0762727,1.1120935
-3.076227,1.1133142
-3.0761812,1.1200281
-3.0761354,1.1004968
-3.0760896,1.0562463
-3.0760438,1.0998865
-3.075998,1.1334558
-3.0759523,1.1520715
-3.0759065,1.1603113
-3.0758607,1.1658044
-3.0758149,1.1658044
-3.0757691,1.16672
-3.0757233,1.1532922
-3.0756776,1.1551233
-3.0756318,1.1774011
-3.075586,1.185946
-3.0755402,1.1877771
-3.0754944,1.1816736
-3.0754486,1.1868616
-3.0754028,1.1853357
-3.0753571,1.1831995
-3.0753113,1.1831995
-3.0752655,1.1883875
-3.0752197,1.191134
-3.0751739,1.1926599
-3.0751281,1.1920496
-3.0750824,1.191134
-3.0750366,1.1938806
-3.0749908,1.1935754
-3.074945,1.191134
-3.0748992,1.1932703
-3.0748534,1.1984583
-3.0748077,1.1865564
-3.0747619,1.1749597
-3.0747161,1.1957117
-3.0746703,1.1972375
-3.0746245,1.2027307
-3.0745787,1.1819788
-3.074533,1.1236902
-3.0744872,1.0675378
-3.0744414,1.1212488
-3.0743956,1.1575647
-3.0743498,1.2048669
-3.074304,1.2146326
-3.0742582,1.2063928
-3.0742125,1.2097498
-3.0741667,1.2167688
-3.0741209,1.2128015
-3.0740751,1.2073083
-3.0740293,1.2030359
-3.0739835,1.1886926
-3.0739378,1.185946
-3.073892,1.1853357
-3.0738462,1.178927
-3.0738004,1.1795374
-3.0737546,1.1746545
-3.0737088,1.1819788
-3.0736631,1.1740442
-3.0736173,1.163363
-3.0735715,1.1539026
-3.0735257,1.1453577
-3.0734799,1.1352869
-3.0734341,1.121554
-3.0733884,1.1090417
-3.0733426,1.1004968
-3.0732968,1.090426
-3.073251,1.078219
