in s,C1 in V
-3.0664292,-0.6376483
-3.0663834,-0.6719806
-3.0663376,-0.7070758
-3.0662918,-0.7414081
-3.066246,-0.7749774
-3.0662003,-0.8082416
-3.0661545,-0.8412006
-3.0661087,-0.8718707
-3.0660629,-0.9029987
-3.0660171,-0.9330585
-3.0659713,-0.9606769
-3.0659256,-0.9881427
-3.0658798,-1.014235
-3.065834,-1.03926
-3.0657882,-1.063979
-3.0657424,-1.089461
-3.0656966,-1.113417
-3.0656509,-1.136153
-3.0656051,-1.159957
-3.0655593,-1.182997
-3.0655135,-1.205886
-3.0654677,-1.228163
-3.0654219,-1.249984
-3.0653762,-1.271346
-3.0653304,-1.291793
-3.0652846,-1.311934
-3.0652388,-1.330703
-3.065193,-1.348708
-3.0651472,-1.364424
-3.0651014,-1.379836
-3.0650557,-1.394637
-3.0650099,-1.408828
-3.0649641,-1.422866
-3.0649183,-1.43553
-3.0648725,-1.446669
-3.0648267,-1.457961
-3.064781,-1.468642
-3.0647352,-1.479171
-3.0646894,-1.489241
-3.0646436,-1.49977
-3.0645978,-1.508773
-3.064552,-1.51747
-3.0645063,-1.527236
-3.0644605,-1.537917
-3.0644147,-1.548598
-3.0643689,-1.559127
-3.0643231,-1.571334
-3.0642773,-1.585219
-3.0642316,-1.596816
-3.0641858,-1.609938
-3.06414,-1.625197
-3.0640942,-1.640914
-3.0640484,-1.656935
-3.0640026,-1.671889
-3.0639568,-1.6873
-3.0639111,-1.703322
-3.0638653,-1.719191
-3.0638195,-1.733535
-3.0637737,-1.748641
-3.0637279,-1.760848
-3.0636821,-1.771682
-3.0636364,-1.780989
-3.0635906,-1.789687
-3.0635448,-1.796706
-3.063499,-1.802962
-3.0634532,-1.807387
-3.0634074,-1.810897
-3.0633617,-1.813796
-3.0633159,-1.815322
-3.0632701,-1.816848
-3.0632243,-1.817763
-3.0631785,-1.81761
-3.0631327,-1.818373
-3.063087,-1.820052
-3.0630412,-1.822341
-3.0629954,-1.823256
-3.0629496,-1.824324
-3.0629038,-1.826003
-3.062858,-1.827681
-3.0628122,-1.831038
-3.0627665,-1.833785
-3.0627207,-1.836837
-3.0626749,-1.839278
-3.0626291,-1.84233
-3.0625833,-1.843856
-3.0625375,-1.844771
-3.0624918,-1.845687
-3.062446,-1.844771
-3.0624002,-1.842177
-3.0623544,-1.838668
-3.0623086,-1.833327
-3.0622628,-1.826308
-3.0622171,-1.818068
-3.0621713,-1.807082
-3.0621255,-1.794417
-3.0620797,-1.779616
-3.0620339,-1.764205
-3.0619881,-1.746657
-3.0619424,-1.727889
-3.0618966,-1.7079
-3.0618508,-1.686537
-3.061805,-1.664412
-3.0617592,-1.639846
-3.0617134,-1.616347
-3.0616676,-1.593459
-3.0616219,-1.56935
-3.0615761,-1.54402
-3.0615303,-1.520674
-3.0614845,-1.498549
-3.0614387,-1.47444
-3.0613929,-1.452925
-3.0613472,-1.430342
-3.0613014,-1.408828
-3.0612556,-1.38655
-3.0612098,-1.364882
-3.061164,-1.343978
-3.0611182,-1.322921
-3.0610725,-1.300032
-3.0610267,-1.277907
-3.0609809,-1.254866
-3.0609351,-1.231368
-3.0608893,-1.206649
-3.0608435,-1.180861
-3.0607978,-1.153395
-3.060752,-1.12593
-3.0607062,-1.099227
-3.0606604,-1.071761
-3.0606146,-1.042769
-3.0605688,-1.013777
-3.060523,-0.9866168
-3.0604773,-0.959151
-3.0604315,-0.9327533
-3.0603857,-0.9060504
-3.0603399,-0.881026
-3.0602941,-0.8572223
-3.0602483,-0.8343341
-3.0602026,-0.8109882
-3.0601568,-0.7894733
-3.060111,-0.7682635
-3.0600652,-0.7479694
-3.0600194,-0.72737
-3.0599736,-0.7072284
-3.0599279,-0.687392
-3.0598821,-0.6680133
-3.0598363,-0.6490924
-3.0597905,-0.6298663
-3.0597447,-0.6100299
-3.0596989,-0.5912616
-3.0596532,-0.5712726
-3.0596074,-0.5499103
-3.0595616,-0.528548
-3.0595158,-0.5068805
-3.05947,-0.4849078
-3.0594242,-0.4611041
-3.0593784,-0.4359271
-3.0593327,-0.4112079
-3.0592869,-0.3855731
-3.0592411,-0.3597858
-3.0591953,-0.3321674
-3.0591495,-0.3030231
-3.0591037,-0.273421
-3.059058,-0.2433612
-3.0590122,-0.2125385
-3.0589664,-0.1824786
-3.0589206,-0.1502826
-3.0588748,-0.117934
-3.058829,-0.08528015
-3.0587833,-0.05201599
-3.0587375,-0.01997253
-3.0586917,0.01207092
-3.0586459,0.04304626
-3.0586001,0.07493713
-3.0585543,0.1077435
-3.0585086,0.1407025
-3.0584628,0.1721356
-3.058417,0.2050946
